post_index,age,stop_word_ratio,most_common_word,word_count,unique_word_ratio,tfidf_score,sentiment_score,vader_sentiment_label,flair_sentiment_score,formality_score,formality_score_gunning_fog,punctuation_ratio,punctuation_correctness_score,grammar_error_ratio,avg_word_length,question_mark_ratio,exclamation_mark_ratio,comma_ratio,period_ratio,past_ratio,present_ratio,future_ratio,past_ratio_stanza,present_ratio_stanza,future_ratio_stanza
0,24,0.465,students,642,0.5407673860911271,0.00021307645498532568,0.22860803412274006,Positive,-0.5918473601341248,0.7657,11.5,0.21339563862928349,0.9984423676012462,0.07320872274143302,6.685358255451713,0.004672897196261682,0.001557632398753894,0.12305295950155763,0.07476635514018691,0.2831858407079646,0.7168141592920354,0.0,0.30097087378640774,0.6990291262135923,0.0
1,23,0.4,interesting,6,0.8181818181818182,4.21921934775935e-05,0.45,Positive,0.8056080937385559,1.0,9.07,1.5,1.0,0.16666666666666666,9.5,0.0,0.0,0.0,1.5,0.0,1.0,0.0,0.0,0.0,0.0
2,16,0.47305389221556887,I'm,176,0.5541666666666667,0.00014323437248092707,0.010163497217068647,Positive,-0.716425359249115,0.18709999999999993,5.3,0.2727272727272727,1.0,0.16477272727272727,5.034090909090909,0.022727272727272728,0.005681818181818182,0.06818181818181818,0.16477272727272727,0.17647058823529413,0.8235294117647058,0.0,0.20454545454545456,0.7954545454545454,0.0
3,24,0.41935483870967744,Hall,54,0.8153846153846154,9.687460117920278e-05,0.09,Negative,-0.98366379737854,0.5525,13.87,0.16666666666666666,1.0,0.037037037037037035,5.851851851851852,0.0,0.0,0.1111111111111111,0.05555555555555555,0.6923076923076923,0.3076923076923077,0.0,0.8333333333333334,0.16666666666666666,0.0
4,33,0.4421052631578947,I'm,53,0.7468354430379747,9.646215890223112e-05,0.0633116883116883,Negative,-0.999987006187439,0.19120000000000004,5.27,0.2641509433962264,0.9811320754716981,0.1320754716981132,5.188679245283019,0.0,0.018867924528301886,0.05660377358490566,0.16981132075471697,0.1,0.9,0.0,0.1,0.9,0.0
5,16,0.525,went,171,0.6728110599078341,0.00016068527287182047,0.2342511655011655,Positive,-0.9857412576675415,0.20739999999999992,5.0,0.24561403508771928,1.0,0.2222222222222222,5.175438596491228,0.005847953216374269,0.05263157894736842,0.029239766081871343,0.14619883040935672,0.6571428571428571,0.34285714285714286,0.0,0.6875,0.3125,0.0
6,15,0.39453125,shit,310,0.5906862745098039,0.00018063543571005425,0.061607142857142846,Negative,-0.9974083304405212,0.28079999999999994,6.39,0.24838709677419354,1.0,0.2129032258064516,5.112903225806452,0.0,0.0,0.07741935483870968,0.14838709677419354,0.3684210526315789,0.631578947368421,0.0,0.3076923076923077,0.6923076923076923,0.0
7,16,0.5017921146953405,highland,139,0.6906077348066298,0.00014634122853419745,0.18240740740740743,Positive,-0.9969793558120728,0.21040000000000003,5.16,0.2949640287769784,1.0,0.14388489208633093,5.057553956834532,0.0,0.0,0.16546762589928057,0.12949640287769784,0.7,0.3,0.0,0.7307692307692307,0.2692307692307692,0.0
8,25,0.40764331210191085,callers,93,0.6614173228346457,0.00010024071056335092,-0.4214285714285714,Negative,-0.999993085861206,0.18909999999999993,5.46,0.26881720430107525,1.0,0.06451612903225806,4.688172043010753,0.03225806451612903,0.0,0.11827956989247312,0.11827956989247312,0.5384615384615384,0.46153846153846156,0.0,0.6363636363636364,0.36363636363636365,0.0
9,35,0.3,urlLink,42,0.7894736842105263,9.09447159558435e-05,0.05606060606060606,Negative,-0.6695297360420227,0.6574,16.0,0.38095238095238093,0.9761904761904762,0.11904761904761904,5.642857142857143,0.0,0.0,0.21428571428571427,0.11904761904761904,0.2,0.8,0.0,0.0,1.0,0.0
